Report_country_name,UNICEF_ACTY_code,Region_Code,ISO3_code,uncode
Afghanistan,AFG,EMRO,AFG,4
Angola,ANG,AFRO,AGO,24
Albania,ALB,EURO,ALB,8
Andorra,AND,EURO,AND,20
United Arab Emirates,UAE,EMRO,ARE,784
Argentina,ARG,AMRO,ARG,32
Armenia,ARM,EURO,ARM,51
Antigua and Barbuda,ANT,AMRO,ATG,28
Australia,AUS,WPRO,AUS,36
Austria,ATR,EURO,AUT,40
Azerbaijan,AZE,EURO,AZE,31
Burundi,BRD,AFRO,BDI,108
Belgium,BEL,EURO,BEL,56
Benin,BEN,AFRO,BEN,204
Burkina Faso,UPV,AFRO,BFA,854
Bangladesh,BAN,SEARO,BGD,50
Bulgaria,BUL,EURO,BGR,100
Bahrain,BRN,EMRO,BHR,48
Bahamas,BAH,AMRO,BHS,44
Bosnia and Herzegovina,BHG,EURO,BIH,70
Belarus,BSR,EURO,BLR,112
Belize,BZE,AMRO,BLZ,84
Bermuda,BER,AMRO,BMU,60
Bolivia,BOL,AMRO,BOL,68
Brazil,BRZ,AMRO,BRA,76
Barbados,BAR,AMRO,BRB,52
Brunei Darussalam,BRI,WPRO,BRN,96
Bhutan,BTN,SEARO,BTN,64
Botswana,BTW,AFRO,BWA,72
Central African Republic,CAR,AFRO,CAF,140
Canada,CAN,AMRO,CAN,124
Switzerland,SWZ,EURO,CHE,756
Chile,CLE,AMRO,CHL,152
China,CHN,WPRO,CHN,156
Cote d Ivoire,IVC,AFRO,CIV,384
Cameroon,CAM,AFRO,CMR,120
Democratic Republic of the Congo,ZAI,AFRO,COD,180
Congo,CBR,AFRO,COG,178
Cook Islands,COK,WPRO,COK,184
Colombia,COL,AMRO,COL,170
Comoros,COM,AFRO,COM,174
Cabo Verde,CVR,AFRO,CPV,132
Costa Rica,CTR,AMRO,CRI,188
Czechoslovakia,CZX,EURO,CSK,
Cuba,CBA,AMRO,CUB,192
Cayman Islands,CAY,AMRO,CYM,136
Cyprus,CYP,EURO,CYP,196
Czech Republic,CZE,EURO,CZE,203
Germany,GERB,EURO,DEU,276
Djibouti,DJB,EMRO,DJI,262
Dominica,DOM,AMRO,DMA,212
Denmark,DAN,EURO,DNK,208
Dominican Republic,DMR,AMRO,DOM,214
Algeria,ALG,AFRO,DZA,12
Ecuador,ECU,AMRO,ECU,218
Egypt,EGY,EMRO,EGY,818
Eritrea,ETHB,AFRO,ERI,232
Spain,SPN,EURO,ESP,724
Estonia,EST,EURO,EST,233
Ethiopia,ETH,AFRO,ETH,231
Finland,FIN,EURO,FIN,246
Fiji,FJI,WPRO,FJI,242
France,FRA,EURO,FRA,250
Micronesia (Federated States of ),FSM,WPRO,FSM,583
Gabon,GAB,AFRO,GAB,266
United Kingdom of Great Britain and Northern Ireland,UKD,EURO,GBR,826
Georgia,GEO,EURO,GEO,268
Ghana,GHA,AFRO,GHA,288
Guinea,GUI,AFRO,GIN,324
Gambia,GAM,AFRO,GMB,270
Guinea-Bissau,BIS,AFRO,GNB,624
Equatorial Guinea,EQG,AFRO,GNQ,226
Greece,GRE,EURO,GRC,300
Grenada,GND,AMRO,GRD,308
Guatemala,GUA,AMRO,GTM,320
Guam,GUD,WPRO,GUM,316
Guyana,GUY,AMRO,GUY,328
"China, Hong Kong SAR",HKG,WPRO,HKG,344
Honduras,HON,AMRO,HND,340
Croatia,CRO,EURO,HRV,191
