vaccine,activity_type,country_code,year,age_first,age_last,coverage
Rubella,campaign,ZMB,2017,0,14,0.948269204
Rubella,campaign,ZMB,2020,0,5,0.926258297
Rubella,campaign,ZMB,2025,1,5,0.960324776
Rubella,campaign,ZMB,2027,1,5,0.980275477
Rubella,routine,ZMB,1980,0,0,0
Rubella,routine,ZMB,1981,0,0,0
Rubella,routine,ZMB,1982,0,0,0
Rubella,routine,ZMB,1983,0,0,0
Rubella,routine,ZMB,1984,0,0,0
Rubella,routine,ZMB,1985,0,0,0
Rubella,routine,ZMB,1986,0,0,0
Rubella,routine,ZMB,1987,0,0,0
Rubella,routine,ZMB,1988,0,0,0
Rubella,routine,ZMB,1989,0,0,0
Rubella,routine,ZMB,1990,0,0,0
Rubella,routine,ZMB,1991,0,0,0
Rubella,routine,ZMB,1992,0,0,0
Rubella,routine,ZMB,1993,0,0,0
Rubella,routine,ZMB,1994,0,0,0
Rubella,routine,ZMB,1995,0,0,0
Rubella,routine,ZMB,1996,0,0,0
Rubella,routine,ZMB,1997,0,0,0
Rubella,routine,ZMB,1998,0,0,0
Rubella,routine,ZMB,1999,0,0,0
Rubella,routine,ZMB,2000,0,0,0
Rubella,routine,ZMB,2001,0,0,0
Rubella,routine,ZMB,2002,0,0,0
Rubella,routine,ZMB,2003,0,0,0
Rubella,routine,ZMB,2004,0,0,0
Rubella,routine,ZMB,2005,0,0,0
Rubella,routine,ZMB,2006,0,0,0
Rubella,routine,ZMB,2007,0,0,0
Rubella,routine,ZMB,2008,0,0,0
Rubella,routine,ZMB,2009,0,0,0
Rubella,routine,ZMB,2010,0,0,0
Rubella,routine,ZMB,2011,0,0,0
Rubella,routine,ZMB,2012,0,0,0
Rubella,routine,ZMB,2013,0,0,0
Rubella,routine,ZMB,2014,0,0,0
Rubella,routine,ZMB,2015,0,0,0
Rubella,routine,ZMB,2016,0,0,0
Rubella,routine,ZMB,2017,0,0,1
Rubella,routine,ZMB,2018,0,0,0.94758742
Rubella,routine,ZMB,2019,0,0,0.909491495
Rubella,routine,ZMB,2020,0,0,1
Rubella,routine,ZMB,2021,0,0,0.888964973
