vaccine,activity_type,country_code,year,age_first,age_last,coverage
Rubella,campaign,ZMB,2015,0,14,0.973225907
Rubella,campaign,ZMB,2019,0,5,0.919613266
Rubella,campaign,ZMB,2022,1,5,0.872508707
Rubella,campaign,ZMB,2030,1,5,0.820699863
RCV2,routine,ZMB,1980,2,2,0
RCV2,routine,ZMB,1981,2,2,0
RCV2,routine,ZMB,1982,2,2,0
RCV2,routine,ZMB,1983,2,2,0
RCV2,routine,ZMB,1984,2,2,0
RCV2,routine,ZMB,1985,2,2,0
RCV2,routine,ZMB,1986,2,2,0
RCV2,routine,ZMB,1987,2,2,0
RCV2,routine,ZMB,1988,2,2,0
RCV2,routine,ZMB,1989,2,2,0
RCV2,routine,ZMB,1990,2,2,0
RCV2,routine,ZMB,1991,2,2,0
RCV2,routine,ZMB,1992,2,2,0
RCV2,routine,ZMB,1993,2,2,0
RCV2,routine,ZMB,1994,2,2,0
RCV2,routine,ZMB,1995,2,2,0
RCV2,routine,ZMB,1996,2,2,0
RCV2,routine,ZMB,1997,2,2,0
RCV2,routine,ZMB,1998,2,2,0
RCV2,routine,ZMB,1999,2,2,0
RCV2,routine,ZMB,2000,2,2,0
RCV2,routine,ZMB,2001,2,2,0
RCV2,routine,ZMB,2002,2,2,0
RCV2,routine,ZMB,2003,2,2,0
RCV2,routine,ZMB,2004,2,2,0
RCV2,routine,ZMB,2005,2,2,0
RCV2,routine,ZMB,2006,2,2,0
RCV2,routine,ZMB,2007,2,2,0
RCV2,routine,ZMB,2008,2,2,0
RCV2,routine,ZMB,2009,2,2,0
RCV2,routine,ZMB,2010,2,2,0
RCV2,routine,ZMB,2011,2,2,0
RCV2,routine,ZMB,2012,2,2,0
RCV2,routine,ZMB,2013,2,2,0
RCV2,routine,ZMB,2014,2,2,0
RCV2,routine,ZMB,2015,2,2,0
RCV2,routine,ZMB,2016,2,2,0
RCV2,routine,ZMB,2017,2,2,0
RCV2,routine,ZMB,2018,2,2,0
RCV2,routine,ZMB,2019,2,2,0
RCV2,routine,ZMB,2020,2,2,0
RCV2,routine,ZMB,2021,2,2,0
RCV2,routine,ZMB,2022,2,2,0
RCV2,routine,ZMB,2023,2,2,0
RCV2,routine,ZMB,2024,2,2,0
RCV2,routine,ZMB,2025,2,2,0.707839234
RCV2,routine,ZMB,2026,2,2,0.811367335
RCV2,routine,ZMB,2027,2,2,0.753010262
RCV2,routine,ZMB,2028,2,2,0.859050591
RCV2,routine,ZMB,2029,2,2,0.907797963
RCV2,routine,ZMB,2030,2,2,0.896257234
RCV2,routine,ZMB,2031,2,2,0.894954585
RCV2,routine,ZMB,2032,2,2,0.930639707
RCV2,routine,ZMB,2033,2,2,0.979815386
RCV2,routine,ZMB,2034,2,2,0.907562163
RCV2,routine,ZMB,2035,2,2,0.806532861
RCV2,routine,ZMB,2036,2,2,0.957671442
RCV2,routine,ZMB,2037,2,2,0.908711664
RCV2,routine,ZMB,2038,2,2,0.927219668
RCV2,routine,ZMB,2039,2,2,0.889793011
RCV2,routine,ZMB,2040,2,2,0.845592988
RCV2,routine,ZMB,2041,2,2,0.856370416
RCV2,routine,ZMB,2042,2,2,0.875861179
RCV2,routine,ZMB,2043,2,2,0.858889265
RCV2,routine,ZMB,2044,2,2,0.883903373
RCV2,routine,ZMB,2045,2,2,0.837905043
RCV2,routine,ZMB,2046,2,2,0.871228825
RCV2,routine,ZMB,2047,2,2,0.84089039
RCV2,routine,ZMB,2048,2,2,0.889577297
RCV2,routine,ZMB,2049,2,2,0.902369023
RCV2,routine,ZMB,2050,2,2,0.895879045
RCV2,routine,ZMB,2051,2,2,0.831345925
RCV2,routine,ZMB,2052,2,2,0.842872772
RCV2,routine,ZMB,2053,2,2,0.964042137
RCV2,routine,ZMB,2054,2,2,0.877756615
RCV2,routine,ZMB,2055,2,2,0.938569279
RCV2,routine,ZMB,2056,2,2,0.891123789
RCV2,routine,ZMB,2057,2,2,0.865235231
RCV2,routine,ZMB,2058,2,2,0.836626644
RCV2,routine,ZMB,2059,2,2,0.879014435
RCV2,routine,ZMB,2060,2,2,0.961882422
RCV2,routine,ZMB,2061,2,2,0.847983346
RCV2,routine,ZMB,2062,2,2,0.938761222
RCV2,routine,ZMB,2063,2,2,0.908761532
RCV2,routine,ZMB,2064,2,2,0.933632951
RCV2,routine,ZMB,2065,2,2,0.916719933
RCV2,routine,ZMB,2066,2,2,0.864869437
RCV2,routine,ZMB,2067,2,2,0.819051385
RCV2,routine,ZMB,2068,2,2,0.95925044
RCV2,routine,ZMB,2069,2,2,0.883379896
RCV2,routine,ZMB,2070,2,2,0.865722397
RCV2,routine,ZMB,2071,2,2,0.878473889
RCV2,routine,ZMB,2072,2,2,0.938681873
RCV2,routine,ZMB,2073,2,2,0.924347073
RCV2,routine,ZMB,2074,2,2,0.935447095
RCV2,routine,ZMB,2075,2,2,0.90881329
RCV2,routine,ZMB,2076,2,2,0.90475248
RCV2,routine,ZMB,2077,2,2,0.868289024
RCV2,routine,ZMB,2078,2,2,0.941937313
RCV2,routine,ZMB,2079,2,2,0.97090807
RCV2,routine,ZMB,2080,2,2,0.907912326
RCV2,routine,ZMB,2081,2,2,0.883605693
RCV2,routine,ZMB,2082,2,2,0.909461969
RCV2,routine,ZMB,2083,2,2,0.918394871
RCV2,routine,ZMB,2084,2,2,0.822864969
RCV2,routine,ZMB,2085,2,2,0.912381358
RCV2,routine,ZMB,2086,2,2,1
RCV2,routine,ZMB,2087,2,2,0.87737644
RCV2,routine,ZMB,2088,2,2,0.806512346
RCV2,routine,ZMB,2089,2,2,0.958499712
RCV2,routine,ZMB,2090,2,2,0.86570492
RCV2,routine,ZMB,2091,2,2,0.940384656
RCV2,routine,ZMB,2092,2,2,0.821102719
RCV2,routine,ZMB,2093,2,2,0.883858978
RCV2,routine,ZMB,2094,2,2,0.949031355
