country_code_numeric,country_code,country,age_from,age_to,year,gender,value
894,ZMB,Zambia,0,0,1950,both,42.306
894,ZMB,Zambia,0,0,1951,both,42.537
894,ZMB,Zambia,0,0,1952,both,43.001
894,ZMB,Zambia,0,0,1953,both,43.467
894,ZMB,Zambia,0,0,1954,both,43.936
894,ZMB,Zambia,0,0,1955,both,44.407
894,ZMB,Zambia,0,0,1956,both,44.878
894,ZMB,Zambia,0,0,1957,both,45.347
894,ZMB,Zambia,0,0,1958,both,45.81
894,ZMB,Zambia,0,0,1959,both,46.26
894,ZMB,Zambia,0,0,1960,both,46.687
894,ZMB,Zambia,0,0,1961,both,47.084
894,ZMB,Zambia,0,0,1962,both,47.446
894,ZMB,Zambia,0,0,1963,both,47.772
894,ZMB,Zambia,0,0,1964,both,48.068
894,ZMB,Zambia,0,0,1965,both,48.351
894,ZMB,Zambia,0,0,1966,both,48.643
894,ZMB,Zambia,0,0,1967,both,48.96
894,ZMB,Zambia,0,0,1968,both,49.313
894,ZMB,Zambia,0,0,1969,both,49.7
894,ZMB,Zambia,0,0,1970,both,50.114
894,ZMB,Zambia,0,0,1971,both,50.542
894,ZMB,Zambia,0,0,1972,both,50.961
894,ZMB,Zambia,0,0,1973,both,51.351
894,ZMB,Zambia,0,0,1974,both,51.7
894,ZMB,Zambia,0,0,1975,both,51.999
894,ZMB,Zambia,0,0,1976,both,52.247
894,ZMB,Zambia,0,0,1977,both,52.449
894,ZMB,Zambia,0,0,1978,both,52.607
894,ZMB,Zambia,0,0,1979,both,52.722
894,ZMB,Zambia,0,0,1980,both,52.802
894,ZMB,Zambia,0,0,1981,both,52.863
894,ZMB,Zambia,0,0,1982,both,52.905
894,ZMB,Zambia,0,0,1983,both,52.915
894,ZMB,Zambia,0,0,1984,both,52.87
894,ZMB,Zambia,0,0,1985,both,52.72
894,ZMB,Zambia,0,0,1986,both,52.402
894,ZMB,Zambia,0,0,1987,both,51.888
894,ZMB,Zambia,0,0,1988,both,51.173
894,ZMB,Zambia,0,0,1989,both,50.282
894,ZMB,Zambia,0,0,1990,both,49.249
894,ZMB,Zambia,0,0,1991,both,48.125
894,ZMB,Zambia,0,0,1992,both,46.987
894,ZMB,Zambia,0,0,1993,both,45.919
894,ZMB,Zambia,0,0,1994,both,44.983
894,ZMB,Zambia,0,0,1995,both,44.242
894,ZMB,Zambia,0,0,1996,both,43.735
894,ZMB,Zambia,0,0,1997,both,43.461
894,ZMB,Zambia,0,0,1998,both,43.413
894,ZMB,Zambia,0,0,1999,both,43.594
894,ZMB,Zambia,0,0,2000,both,44
894,ZMB,Zambia,0,0,2001,both,44.615
894,ZMB,Zambia,0,0,2002,both,45.4
894,ZMB,Zambia,0,0,2003,both,46.322
894,ZMB,Zambia,0,0,2004,both,47.354
894,ZMB,Zambia,0,0,2005,both,48.496
894,ZMB,Zambia,0,0,2006,both,49.757
894,ZMB,Zambia,0,0,2007,both,51.134
894,ZMB,Zambia,0,0,2008,both,52.606
894,ZMB,Zambia,0,0,2009,both,54.13
894,ZMB,Zambia,0,0,2010,both,55.655
894,ZMB,Zambia,0,0,2011,both,57.126
894,ZMB,Zambia,0,0,2012,both,58.502
894,ZMB,Zambia,0,0,2013,both,59.746
894,ZMB,Zambia,0,0,2014,both,60.831
894,ZMB,Zambia,0,0,2015,both,61.737
894,ZMB,Zambia,0,0,2016,both,62.464
894,ZMB,Zambia,0,0,2017,both,63.043
894,ZMB,Zambia,0,0,2018,both,63.51
894,ZMB,Zambia,0,0,2019,both,63.886
894,ZMB,Zambia,0,0,2020,both,64.194
