country_code_numeric,country_code,country,age_from,age_to,year,gender,value
894,ZMB,Zambia,0,0,1885,female,9461
894,ZMB,Zambia,0,0,1886,female,9531
894,ZMB,Zambia,1,1,1886,female,9229
894,ZMB,Zambia,0,0,1887,female,9646
894,ZMB,Zambia,1,1,1887,female,9297
894,ZMB,Zambia,2,2,1887,female,9025
894,ZMB,Zambia,0,0,1888,female,9740
894,ZMB,Zambia,1,1,1888,female,9409
894,ZMB,Zambia,2,2,1888,female,9091
894,ZMB,Zambia,3,3,1888,female,8848
894,ZMB,Zambia,0,0,1889,female,9796
894,ZMB,Zambia,1,1,1889,female,9501
894,ZMB,Zambia,2,2,1889,female,9201
894,ZMB,Zambia,3,3,1889,female,8912
894,ZMB,Zambia,4,4,1889,female,8696
894,ZMB,Zambia,0,0,1890,female,9852
894,ZMB,Zambia,1,1,1890,female,9556
894,ZMB,Zambia,2,2,1890,female,9291
894,ZMB,Zambia,3,3,1890,female,9020
894,ZMB,Zambia,4,4,1890,female,8759
894,ZMB,Zambia,5,5,1890,female,8567
894,ZMB,Zambia,0,0,1891,female,9941
894,ZMB,Zambia,1,1,1891,female,9610
894,ZMB,Zambia,2,2,1891,female,9345
894,ZMB,Zambia,3,3,1891,female,9108
894,ZMB,Zambia,4,4,1891,female,8865
894,ZMB,Zambia,5,5,1891,female,8629
894,ZMB,Zambia,6,6,1891,female,8460
894,ZMB,Zambia,0,0,1892,female,10039
894,ZMB,Zambia,1,1,1892,female,9697
894,ZMB,Zambia,2,2,1892,female,9397
894,ZMB,Zambia,3,3,1892,female,9161
894,ZMB,Zambia,4,4,1892,female,8951
894,ZMB,Zambia,5,5,1892,female,8733
894,ZMB,Zambia,6,6,1892,female,8521
894,ZMB,Zambia,7,7,1892,female,8373
894,ZMB,Zambia,0,0,1893,female,10270
894,ZMB,Zambia,1,1,1893,female,9793
894,ZMB,Zambia,2,2,1893,female,9482
894,ZMB,Zambia,3,3,1893,female,9212
894,ZMB,Zambia,4,4,1893,female,9003
894,ZMB,Zambia,5,5,1893,female,8818
894,ZMB,Zambia,6,6,1893,female,8623
894,ZMB,Zambia,7,7,1893,female,8433
894,ZMB,Zambia,8,8,1893,female,8301
894,ZMB,Zambia,0,0,1894,female,10713
894,ZMB,Zambia,1,1,1894,female,10018
894,ZMB,Zambia,2,2,1894,female,9576
894,ZMB,Zambia,3,3,1894,female,9296
894,ZMB,Zambia,4,4,1894,female,9053
894,ZMB,Zambia,5,5,1894,female,8869
894,ZMB,Zambia,6,6,1894,female,8707
894,ZMB,Zambia,7,7,1894,female,8534
894,ZMB,Zambia,8,8,1894,female,8361
894,ZMB,Zambia,9,9,1894,female,8237
894,ZMB,Zambia,0,0,1895,female,11264
894,ZMB,Zambia,1,1,1895,female,10450
894,ZMB,Zambia,2,2,1895,female,9796
894,ZMB,Zambia,3,3,1895,female,9388
894,ZMB,Zambia,4,4,1895,female,9136
894,ZMB,Zambia,5,5,1895,female,8918
894,ZMB,Zambia,6,6,1895,female,8758
894,ZMB,Zambia,7,7,1895,female,8617
894,ZMB,Zambia,8,8,1895,female,8461
894,ZMB,Zambia,9,9,1895,female,8297
894,ZMB,Zambia,10,10,1895,female,8176
894,ZMB,Zambia,0,0,1896,female,11804
894,ZMB,Zambia,1,1,1896,female,10988
894,ZMB,Zambia,2,2,1896,female,10219
894,ZMB,Zambia,3,3,1896,female,9603
894,ZMB,Zambia,4,4,1896,female,9226
894,ZMB,Zambia,5,5,1896,female,9000
894,ZMB,Zambia,6,6,1896,female,8806
894,ZMB,Zambia,7,7,1896,female,8668
894,ZMB,Zambia,8,8,1896,female,8543
894,ZMB,Zambia,9,9,1896,female,8396
894,ZMB,Zambia,10,10,1896,female,8235
894,ZMB,Zambia,11,11,1896,female,8115
894,ZMB,Zambia,0,0,1897,female,12355
894,ZMB,Zambia,1,1,1897,female,11514
894,ZMB,Zambia,2,2,1897,female,10745
894,ZMB,Zambia,3,3,1897,female,10018
894,ZMB,Zambia,4,4,1897,female,9438
894,ZMB,Zambia,5,5,1897,female,9089
894,ZMB,Zambia,6,6,1897,female,8887
894,ZMB,Zambia,7,7,1897,female,8715
894,ZMB,Zambia,8,8,1897,female,8594
894,ZMB,Zambia,9,9,1897,female,8477
894,ZMB,Zambia,10,10,1897,female,8334
894,ZMB,Zambia,11,11,1897,female,8174
894,ZMB,Zambia,12,12,1897,female,8052
894,ZMB,Zambia,0,0,1898,female,12866
894,ZMB,Zambia,1,1,1898,female,12052
894,ZMB,Zambia,2,2,1898,female,11259
894,ZMB,Zambia,3,3,1898,female,10534
894,ZMB,Zambia,4,4,1898,female,9846
894,ZMB,Zambia,5,5,1898,female,9298
894,ZMB,Zambia,6,6,1898,female,8975
894,ZMB,Zambia,7,7,1898,female,8795
