ISO,req_country,Country,sub.region,CountryEst,RegionalEst,GlobalEst,R0_mean,median,R0_ll,R0_ul,logR0_mean,logR0_sd
AFG,TRUE,Afghanistan,Southern Asia,FALSE,TRUE,FALSE,5.62171892,NA,4.666061918,6.709142477,1.726637475,0.263106058
AGO,TRUE,Angola,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
ALB,TRUE,Albania,Southern Europe,FALSE,FALSE,TRUE,5.709217064,NA,2.469921626,13.19683958,1.742081898,0.427497693
ARM,TRUE,Armenia,Western Asia,FALSE,TRUE,FALSE,7.672302993,NA,5.903386042,9.72763993,2.03761683,0.340388758
AZE,TRUE,Azerbaijan,Western Asia,FALSE,TRUE,FALSE,7.672302993,NA,5.903386042,9.72763993,2.03761683,0.340388758
BDI,TRUE,Burundi,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
BEN,TRUE,Benin,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
BFA,TRUE,Burkina Faso,Sub-Saharan Africa,TRUE,FALSE,FALSE,6.120722976,6.09469958,3.828547537,9.869552097,1.811680223,0.240838176
BGD,TRUE,Bangladesh,Southern Asia,TRUE,FALSE,FALSE,5.545800712,5.528282232,3.626508948,8.583017449,1.713041013,0.219178839
BIH,TRUE,Bosnia and Herzegovina,Southern Europe,FALSE,FALSE,TRUE,5.709217064,NA,2.469921626,13.19683958,1.742081898,0.427497693
BLR,TRUE,Belarus,Eastern Europe,FALSE,TRUE,FALSE,5.6225589,NA,4.623404803,6.789852451,1.726786881,0.287662032
BLZ,TRUE,Belize,Latin America and the Caribbean,FALSE,TRUE,FALSE,5.230749703,NA,3.99133739,7.160819864,1.654554614,0.490594565
BOL,TRUE,Bolivia (Plurinational State of),Latin America and the Caribbean,TRUE,FALSE,FALSE,5.574646437,5.56334214,3.246323983,9.608975964,1.718228896,0.27311366
BTN,TRUE,Bhutan,Southern Asia,FALSE,TRUE,FALSE,5.62171892,NA,4.666061918,6.709142477,1.726637475,0.263106058
CAF,TRUE,Central African Republic,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
CHN,TRUE,China,Eastern Asia,TRUE,FALSE,FALSE,7.868829222,7.814606928,5.370356326,11.89220989,2.062909287,0.204525999
CIV,TRUE,Cote d'Ivoire,Sub-Saharan Africa,TRUE,FALSE,FALSE,4.905859732,4.883656247,2.678431273,9.149476695,1.590430354,0.308628627
CMR,TRUE,Cameroon,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
COD,TRUE,Democratic Republic of the Congo,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
COG,TRUE,Congo,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
COL,TRUE,Colombia,Latin America and the Caribbean,FALSE,TRUE,FALSE,5.230749703,NA,3.99133739,7.160819864,1.654554614,0.490594565
COM,TRUE,Comoros,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
CPV,TRUE,Cabo Verde,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
CUB,TRUE,Cuba,Latin America and the Caribbean,FALSE,TRUE,FALSE,5.230749703,NA,3.99133739,7.160819864,1.654554614,0.490594565
DJI,TRUE,Djibouti,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
DZA,TRUE,Algeria,Northern Africa,TRUE,FALSE,FALSE,5.340919044,5.331821515,3.20688551,8.968676806,1.675397744,0.259933235
ECU,TRUE,Ecuador,Latin America and the Caribbean,FALSE,TRUE,FALSE,5.230749703,NA,3.99133739,7.160819864,1.654554614,0.490594565
EGY,TRUE,Egypt,Northern Africa,TRUE,FALSE,FALSE,8.08829135,8.055404029,4.62079781,14.48686513,2.090417504,0.295696563
ERI,TRUE,Eritrea,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
ETH,TRUE,Ethiopia,Sub-Saharan Africa,TRUE,FALSE,FALSE,6.313484605,6.337329542,3.752889303,10.66205734,1.84268776,0.266570409
FJI,TRUE,Fiji,Melanesia,TRUE,FALSE,FALSE,2.156184001,2.140021648,1.561262769,3.153397818,0.768339993,0.178182518
FSM,TRUE,Micronesia (Federated States of),Micronesia,FALSE,FALSE,TRUE,5.709217064,NA,2.469921626,13.19683958,1.742081898,0.427497693
GEO,TRUE,Georgia,Western Asia,FALSE,TRUE,FALSE,7.672302993,NA,5.903386042,9.72763993,2.03761683,0.340388758
GHA,TRUE,Ghana,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
GIN,TRUE,Guinea,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
GMB,TRUE,Gambia,Sub-Saharan Africa,TRUE,FALSE,FALSE,10.3951722,10.45254005,6.961207845,15.44439908,2.341341487,0.20213446
GNB,TRUE,Guinea-Bissau,Sub-Saharan Africa,FALSE,TRUE,FALSE,5.484113072,NA,4.121612786,7.240160318,1.70185538,0.415549126
GTM,TRUE,Guatemala,Latin America and the Caribbean,FALSE,TRUE,FALSE,5.230749703,NA,3.99133739,7.160819864,1.654554614,0.490594565
GUY,TRUE,Guyana,Latin America and the Caribbean,FALSE,TRUE,FALSE,5.230749703,NA,3.99133739,7.160819864,1.654554614,0.490594565
HND,TRUE,Honduras,Latin America and the Caribbean,FALSE,TRUE,FALSE,5.230749703,NA,3.99133739,7.160819864,1.654554614,0.490594565
HTI,TRUE,Haiti,Latin America and the Caribbean,FALSE,TRUE,FALSE,5.230749703,NA,3.99133739,7.160819864,1.654554614,0.490594565
IDN,TRUE,Indonesia,South-eastern Asia,FALSE,TRUE,FALSE,5.355279704,NA,4.517432382,6.478451975,1.678082935,0.293085119
IND,TRUE,India,Southern Asia,TRUE,FALSE,FALSE,4.803769491,4.795085738,3.827518222,6.034698433,1.56940092,0.11698103
IRN,TRUE,Iran (Islamic Republic of),Southern Asia,TRUE,FALSE,FALSE,7.100254321,7.096203087,4.606190085,10.8758519,1.960130603,0.219243826
IRQ,TRUE,Iraq,Western Asia,FALSE,TRUE,FALSE,7.672302993,NA,5.903386042,9.72763993,2.03761683,0.340388758
JAM,TRUE,Jamaica,Latin America and the Caribbean,TRUE,FALSE,FALSE,5.051398804,5.00895274,2.871985209,9.229422202,1.619665196,0.294718306
JOR,TRUE,Jordan,Western Asia,TRUE,FALSE,FALSE,7.159350338,7.170350735,4.108349717,12.69899952,1.968419242,0.292188581
