country_code_numeric,country_code,country,age_from,age_to,year,gender,value
894,ZMB,Zambia,0,0,1950,both,0.15166148
894,ZMB,Zambia,1,4,1950,both,0.031398616
894,ZMB,Zambia,5,9,1950,both,0.0088742
894,ZMB,Zambia,10,14,1950,both,0.005063409
894,ZMB,Zambia,15,19,1950,both,0.005929976
894,ZMB,Zambia,20,24,1950,both,0.007723097
894,ZMB,Zambia,25,29,1950,both,0.008801263
894,ZMB,Zambia,30,34,1950,both,0.009950572
894,ZMB,Zambia,35,39,1950,both,0.011437435
894,ZMB,Zambia,40,44,1950,both,0.013120446
894,ZMB,Zambia,45,49,1950,both,0.014656406
894,ZMB,Zambia,50,54,1950,both,0.018184897
894,ZMB,Zambia,55,59,1950,both,0.022870769
894,ZMB,Zambia,60,64,1950,both,0.032372218
894,ZMB,Zambia,65,69,1950,both,0.047575856
894,ZMB,Zambia,70,74,1950,both,0.073461335
894,ZMB,Zambia,75,79,1950,both,0.11368023
894,ZMB,Zambia,80,84,1950,both,0.18170122
894,ZMB,Zambia,85,89,1950,both,0.28573236
894,ZMB,Zambia,90,94,1950,both,0.43162691
894,ZMB,Zambia,95,99,1950,both,0.56487382
894,ZMB,Zambia,100,120,1950,both,0.690727229
894,ZMB,Zambia,0,0,1955,both,0.14113472
894,ZMB,Zambia,1,4,1955,both,0.026805084
894,ZMB,Zambia,5,9,1955,both,0.007520112
894,ZMB,Zambia,10,14,1955,both,0.004355546
894,ZMB,Zambia,15,19,1955,both,0.005257208
894,ZMB,Zambia,20,24,1955,both,0.006956815
894,ZMB,Zambia,25,29,1955,both,0.007980404
894,ZMB,Zambia,30,34,1955,both,0.009078555
894,ZMB,Zambia,35,39,1955,both,0.010520507
894,ZMB,Zambia,40,44,1955,both,0.012188423
894,ZMB,Zambia,45,49,1955,both,0.01378838
894,ZMB,Zambia,50,54,1955,both,0.017310921
894,ZMB,Zambia,55,59,1955,both,0.021903751
894,ZMB,Zambia,60,64,1955,both,0.031287031
894,ZMB,Zambia,65,69,1955,both,0.046463053
894,ZMB,Zambia,70,74,1955,both,0.07237395
894,ZMB,Zambia,75,79,1955,both,0.11310077
894,ZMB,Zambia,80,84,1955,both,0.182524
894,ZMB,Zambia,85,89,1955,both,0.29014052
894,ZMB,Zambia,90,94,1955,both,0.4448287
894,ZMB,Zambia,95,99,1955,both,0.58946314
894,ZMB,Zambia,100,120,1955,both,0.724229751
894,ZMB,Zambia,0,0,1960,both,0.13112186
894,ZMB,Zambia,1,4,1960,both,0.023008759
894,ZMB,Zambia,5,9,1960,both,0.006440823
894,ZMB,Zambia,10,14,1960,both,0.003782429
894,ZMB,Zambia,15,19,1960,both,0.004691785
894,ZMB,Zambia,20,24,1960,both,0.006295734
894,ZMB,Zambia,25,29,1960,both,0.007265853
894,ZMB,Zambia,30,34,1960,both,0.008313741
894,ZMB,Zambia,35,39,1960,both,0.009701935
894,ZMB,Zambia,40,44,1960,both,0.011325593
894,ZMB,Zambia,45,49,1960,both,0.012951806
894,ZMB,Zambia,50,54,1960,both,0.016479347
894,ZMB,Zambia,55,59,1960,both,0.020986052
894,ZMB,Zambia,60,64,1960,both,0.030187465
894,ZMB,Zambia,65,69,1960,both,0.045252208
894,ZMB,Zambia,70,74,1960,both,0.0710691
894,ZMB,Zambia,75,79,1960,both,0.11208037
894,ZMB,Zambia,80,84,1960,both,0.18252258
894,ZMB,Zambia,85,89,1960,both,0.29292268
894,ZMB,Zambia,90,94,1960,both,0.45457861
894,ZMB,Zambia,95,99,1960,both,0.60974277
894,ZMB,Zambia,100,120,1960,both,0.755931949
894,ZMB,Zambia,0,0,1965,both,0.12595008
894,ZMB,Zambia,1,4,1965,both,0.021106615
894,ZMB,Zambia,5,9,1965,both,0.005860336
894,ZMB,Zambia,10,14,1965,both,0.003460668
894,ZMB,Zambia,15,19,1965,both,0.004353737
894,ZMB,Zambia,20,24,1965,both,0.005869804
894,ZMB,Zambia,25,29,1965,both,0.006761843
894,ZMB,Zambia,30,34,1965,both,0.007741716
894,ZMB,Zambia,35,39,1965,both,0.009056355
894,ZMB,Zambia,40,44,1965,both,0.010634752
894,ZMB,Zambia,45,49,1965,both,0.012236282
894,ZMB,Zambia,50,54,1965,both,0.015740564
894,ZMB,Zambia,55,59,1965,both,0.02020164
894,ZMB,Zambia,60,64,1965,both,0.029258205
894,ZMB,Zambia,65,69,1965,both,0.044143842
894,ZMB,Zambia,70,74,1965,both,0.069774955
894,ZMB,Zambia,75,79,1965,both,0.11079034
894,ZMB,Zambia,80,84,1965,both,0.18155145
894,ZMB,Zambia,85,89,1965,both,0.29319424
894,ZMB,Zambia,90,94,1965,both,0.45885304
894,ZMB,Zambia,95,99,1965,both,0.62002301
894,ZMB,Zambia,100,120,1965,both,0.773576424
