country_code_numeric,country_code,country,age_from,age_to,year,gender,value
894,ZMB,Zambia,15,19,1950,both,0.171535
894,ZMB,Zambia,20,24,1950,both,0.265323
894,ZMB,Zambia,25,29,1950,both,0.259038
894,ZMB,Zambia,30,34,1950,both,0.243373
894,ZMB,Zambia,35,39,1950,both,0.233243
894,ZMB,Zambia,40,44,1950,both,0.13108
894,ZMB,Zambia,45,49,1950,both,0.036408
894,ZMB,Zambia,15,19,1955,both,0.179532
894,ZMB,Zambia,20,24,1955,both,0.277681
894,ZMB,Zambia,25,29,1955,both,0.271105
894,ZMB,Zambia,30,34,1955,both,0.254718
894,ZMB,Zambia,35,39,1955,both,0.244098
894,ZMB,Zambia,40,44,1955,both,0.124752
894,ZMB,Zambia,45,49,1955,both,0.038114
894,ZMB,Zambia,15,19,1960,both,0.188906
894,ZMB,Zambia,20,24,1960,both,0.29219
894,ZMB,Zambia,25,29,1960,both,0.285273
894,ZMB,Zambia,30,34,1960,both,0.268032
894,ZMB,Zambia,35,39,1960,both,0.256868
894,ZMB,Zambia,40,44,1960,both,0.118624
894,ZMB,Zambia,45,49,1960,both,0.040107
894,ZMB,Zambia,15,19,1965,both,0.191216
894,ZMB,Zambia,20,24,1965,both,0.295767
894,ZMB,Zambia,25,29,1965,both,0.288773
894,ZMB,Zambia,30,34,1965,both,0.271298
894,ZMB,Zambia,35,39,1965,both,0.259996
894,ZMB,Zambia,40,44,1965,both,0.112362
894,ZMB,Zambia,45,49,1965,both,0.040588
894,ZMB,Zambia,15,19,1970,both,0.195698
894,ZMB,Zambia,20,24,1970,both,0.304167
894,ZMB,Zambia,25,29,1970,both,0.296471
894,ZMB,Zambia,30,34,1970,both,0.276209
894,ZMB,Zambia,35,39,1970,both,0.254898
894,ZMB,Zambia,40,44,1970,both,0.112183
894,ZMB,Zambia,45,49,1970,both,0.040374
894,ZMB,Zambia,15,19,1975,both,0.188052
894,ZMB,Zambia,20,24,1975,both,0.304112
894,ZMB,Zambia,25,29,1975,both,0.295904
894,ZMB,Zambia,30,34,1975,both,0.273314
894,ZMB,Zambia,35,39,1975,both,0.240949
894,ZMB,Zambia,40,44,1975,both,0.108867
894,ZMB,Zambia,45,49,1975,both,0.038802
894,ZMB,Zambia,15,19,1980,both,0.172512
894,ZMB,Zambia,20,24,1980,both,0.296628
894,ZMB,Zambia,25,29,1980,both,0.288127
894,ZMB,Zambia,30,34,1980,both,0.263785
894,ZMB,Zambia,35,39,1980,both,0.220039
894,ZMB,Zambia,40,44,1980,both,0.103057
894,ZMB,Zambia,45,49,1980,both,0.035852
894,ZMB,Zambia,15,19,1985,both,0.161789
894,ZMB,Zambia,20,24,1985,both,0.290144
894,ZMB,Zambia,25,29,1985,both,0.281326
894,ZMB,Zambia,30,34,1985,both,0.255243
894,ZMB,Zambia,35,39,1985,both,0.200953
894,ZMB,Zambia,40,44,1985,both,0.097823
894,ZMB,Zambia,45,49,1985,both,0.032722
894,ZMB,Zambia,15,19,1990,both,0.157435
894,ZMB,Zambia,20,24,1990,both,0.281066
894,ZMB,Zambia,25,29,1990,both,0.272018
894,ZMB,Zambia,30,34,1990,both,0.244539
894,ZMB,Zambia,35,39,1990,both,0.183744
894,ZMB,Zambia,40,44,1990,both,0.091966
894,ZMB,Zambia,45,49,1990,both,0.029232
894,ZMB,Zambia,15,19,1995,both,0.16031
894,ZMB,Zambia,20,24,1995,both,0.27438
894,ZMB,Zambia,25,29,1995,both,0.265072
894,ZMB,Zambia,30,34,1995,both,0.236061
894,ZMB,Zambia,35,39,1995,both,0.173412
894,ZMB,Zambia,40,44,1995,both,0.084718
894,ZMB,Zambia,45,49,1995,both,0.026047
894,ZMB,Zambia,15,19,2000,both,0.159746
894,ZMB,Zambia,20,24,2000,both,0.267845
894,ZMB,Zambia,25,29,2000,both,0.258266
894,ZMB,Zambia,30,34,2000,both,0.227801
894,ZMB,Zambia,35,39,2000,both,0.16923
894,ZMB,Zambia,40,44,2000,both,0.084335
894,ZMB,Zambia,45,49,2000,both,0.022777
894,ZMB,Zambia,15,19,2005,both,0.148959
894,ZMB,Zambia,20,24,2005,both,0.253643
894,ZMB,Zambia,25,29,2005,both,0.244113
