country_code_numeric,country_code,country,age_from,age_to,year,gender,value
894,ZMB,Zambia,0,0,1885,both,19903
894,ZMB,Zambia,0,0,1886,both,20143
894,ZMB,Zambia,1,1,1886,both,19380
894,ZMB,Zambia,0,0,1887,both,20474
894,ZMB,Zambia,1,1,1887,both,19614
894,ZMB,Zambia,2,2,1887,both,18933
894,ZMB,Zambia,0,0,1888,both,20679
894,ZMB,Zambia,1,1,1888,both,19936
894,ZMB,Zambia,2,2,1888,both,19162
894,ZMB,Zambia,3,3,1888,both,18555
894,ZMB,Zambia,0,0,1889,both,20672
894,ZMB,Zambia,1,1,1889,both,20136
894,ZMB,Zambia,2,2,1889,both,19477
894,ZMB,Zambia,3,3,1889,both,18779
894,ZMB,Zambia,4,4,1889,both,18236
894,ZMB,Zambia,0,0,1890,both,20589
894,ZMB,Zambia,1,1,1890,both,20129
894,ZMB,Zambia,2,2,1890,both,19672
894,ZMB,Zambia,3,3,1890,both,19088
894,ZMB,Zambia,4,4,1890,both,18456
894,ZMB,Zambia,5,5,1890,both,17969
894,ZMB,Zambia,0,0,1891,both,20602
894,ZMB,Zambia,1,1,1891,both,20048
894,ZMB,Zambia,2,2,1891,both,19665
894,ZMB,Zambia,3,3,1891,both,19279
894,ZMB,Zambia,4,4,1891,both,18760
894,ZMB,Zambia,5,5,1891,both,18186
894,ZMB,Zambia,6,6,1891,both,17746
894,ZMB,Zambia,0,0,1892,both,20624
894,ZMB,Zambia,1,1,1892,both,20061
894,ZMB,Zambia,2,2,1892,both,19586
894,ZMB,Zambia,3,3,1892,both,19272
894,ZMB,Zambia,4,4,1892,both,18948
894,ZMB,Zambia,5,5,1892,both,18486
894,ZMB,Zambia,6,6,1892,both,17961
894,ZMB,Zambia,7,7,1892,both,17560
894,ZMB,Zambia,0,0,1893,both,21014
894,ZMB,Zambia,1,1,1893,both,20082
894,ZMB,Zambia,2,2,1893,both,19599
894,ZMB,Zambia,3,3,1893,both,19194
894,ZMB,Zambia,4,4,1893,both,18941
894,ZMB,Zambia,5,5,1893,both,18671
894,ZMB,Zambia,6,6,1893,both,18257
894,ZMB,Zambia,7,7,1893,both,17773
894,ZMB,Zambia,8,8,1893,both,17401
894,ZMB,Zambia,0,0,1894,both,21921
894,ZMB,Zambia,1,1,1894,both,20462
894,ZMB,Zambia,2,2,1894,both,19619
894,ZMB,Zambia,3,3,1894,both,19207
894,ZMB,Zambia,4,4,1894,both,18864
894,ZMB,Zambia,5,5,1894,both,18664
894,ZMB,Zambia,6,6,1894,both,18440
894,ZMB,Zambia,7,7,1894,both,18066
894,ZMB,Zambia,8,8,1894,both,17613
894,ZMB,Zambia,9,9,1894,both,17260
894,ZMB,Zambia,0,0,1895,both,23132
894,ZMB,Zambia,1,1,1895,both,21345
894,ZMB,Zambia,2,2,1895,both,19990
894,ZMB,Zambia,3,3,1895,both,19227
894,ZMB,Zambia,4,4,1895,both,18877
894,ZMB,Zambia,5,5,1895,both,18588
894,ZMB,Zambia,6,6,1895,both,18433
894,ZMB,Zambia,7,7,1895,both,18247
894,ZMB,Zambia,8,8,1895,both,17903
894,ZMB,Zambia,9,9,1895,both,17470
894,ZMB,Zambia,10,10,1895,both,17128
894,ZMB,Zambia,0,0,1896,both,24296
894,ZMB,Zambia,1,1,1896,both,22524
894,ZMB,Zambia,2,2,1896,both,20853
894,ZMB,Zambia,3,3,1896,both,19590
894,ZMB,Zambia,4,4,1896,both,18897
894,ZMB,Zambia,5,5,1896,both,18601
894,ZMB,Zambia,6,6,1896,both,18358
894,ZMB,Zambia,7,7,1896,both,18240
894,ZMB,Zambia,8,8,1896,both,18082
894,ZMB,Zambia,9,9,1896,both,17758
894,ZMB,Zambia,10,10,1896,both,17337
894,ZMB,Zambia,11,11,1896,both,16998
894,ZMB,Zambia,0,0,1897,both,25488
894,ZMB,Zambia,1,1,1897,both,23658
894,ZMB,Zambia,2,2,1897,both,22005
894,ZMB,Zambia,3,3,1897,both,20436
894,ZMB,Zambia,4,4,1897,both,19254
894,ZMB,Zambia,5,5,1897,both,18621
894,ZMB,Zambia,6,6,1897,both,18371
894,ZMB,Zambia,7,7,1897,both,18166
894,ZMB,Zambia,8,8,1897,both,18075
894,ZMB,Zambia,9,9,1897,both,17935
894,ZMB,Zambia,10,10,1897,both,17622
894,ZMB,Zambia,11,11,1897,both,17206
894,ZMB,Zambia,12,12,1897,both,16864
894,ZMB,Zambia,0,0,1898,both,26518
894,ZMB,Zambia,1,1,1898,both,24818
894,ZMB,Zambia,2,2,1898,both,23113
894,ZMB,Zambia,3,3,1898,both,21565
894,ZMB,Zambia,4,4,1898,both,20085
894,ZMB,Zambia,5,5,1898,both,18972
894,ZMB,Zambia,6,6,1898,both,18390
894,ZMB,Zambia,7,7,1898,both,18178
894,ZMB,Zambia,8,8,1898,both,18002
894,ZMB,Zambia,9,9,1898,both,17929
894,ZMB,Zambia,10,10,1898,both,17798
894,ZMB,Zambia,11,11,1898,both,17489
894,ZMB,Zambia,12,12,1898,both,17070
894,ZMB,Zambia,13,13,1898,both,16725
894,ZMB,Zambia,0,0,1899,both,27273
894,ZMB,Zambia,1,1,1899,both,25821
894,ZMB,Zambia,2,2,1899,both,24246
894,ZMB,Zambia,3,3,1899,both,22651
894,ZMB,Zambia,4,4,1899,both,21195
894,ZMB,Zambia,5,5,1899,both,19791
894,ZMB,Zambia,6,6,1899,both,18737
894,ZMB,Zambia,7,7,1899,both,18197
894,ZMB,Zambia,8,8,1899,both,18014
894,ZMB,Zambia,9,9,1899,both,17856
894,ZMB,Zambia,10,10,1899,both,17792
894,ZMB,Zambia,11,11,1899,both,17663
894,ZMB,Zambia,12,12,1899,both,17351
894,ZMB,Zambia,13,13,1899,both,16929
894,ZMB,Zambia,14,14,1899,both,16585
894,ZMB,Zambia,0,0,1900,both,27865
894,ZMB,Zambia,1,1,1900,both,26556
894,ZMB,Zambia,2,2,1900,both,25226
894,ZMB,Zambia,3,3,1900,both,23761
894,ZMB,Zambia,4,4,1900,both,22262
894,ZMB,Zambia,5,5,1900,both,20885
894,ZMB,Zambia,6,6,1900,both,19546
894,ZMB,Zambia,7,7,1900,both,18541
894,ZMB,Zambia,8,8,1900,both,18033
894,ZMB,Zambia,9,9,1900,both,17868
894,ZMB,Zambia,10,10,1900,both,17720
894,ZMB,Zambia,11,11,1900,both,17657
894,ZMB,Zambia,12,12,1900,both,17523
894,ZMB,Zambia,13,13,1900,both,17208
894,ZMB,Zambia,14,14,1900,both,16787
894,ZMB,Zambia,15,15,1900,both,16446
894,ZMB,Zambia,0,0,1901,both,28533
894,ZMB,Zambia,1,1,1901,both,27133
894,ZMB,Zambia,2,2,1901,both,25944
894,ZMB,Zambia,3,3,1901,both,24722
894,ZMB,Zambia,4,4,1901,both,23353
