country_code_numeric,country_code,country,age_from,age_to,year,gender,value
894,ZMB,Zambia,0,120,1950,both,2310442
894,ZMB,Zambia,0,120,1951,both,2368604
894,ZMB,Zambia,0,120,1952,both,2431344
894,ZMB,Zambia,0,120,1953,both,2498465
894,ZMB,Zambia,0,120,1954,both,2569748
894,ZMB,Zambia,0,120,1955,both,2644976
894,ZMB,Zambia,0,120,1956,both,2723864
894,ZMB,Zambia,0,120,1957,both,2806164
894,ZMB,Zambia,0,120,1958,both,2891581
894,ZMB,Zambia,0,120,1959,both,2979852
894,ZMB,Zambia,0,120,1960,both,3070776
894,ZMB,Zambia,0,120,1961,both,3164329
894,ZMB,Zambia,0,120,1962,both,3260650
894,ZMB,Zambia,0,120,1963,both,3360104
894,ZMB,Zambia,0,120,1964,both,3463213
894,ZMB,Zambia,0,120,1965,both,3570464
894,ZMB,Zambia,0,120,1966,both,3681955
894,ZMB,Zambia,0,120,1967,both,3797873
894,ZMB,Zambia,0,120,1968,both,3918872
894,ZMB,Zambia,0,120,1969,both,4045740
894,ZMB,Zambia,0,120,1970,both,4179067
894,ZMB,Zambia,0,120,1971,both,4319224
894,ZMB,Zambia,0,120,1972,both,4466174
894,ZMB,Zambia,0,120,1973,both,4619546
894,ZMB,Zambia,0,120,1974,both,4778724
894,ZMB,Zambia,0,120,1975,both,4943283
894,ZMB,Zambia,0,120,1976,both,5112823
894,ZMB,Zambia,0,120,1977,both,5287548
894,ZMB,Zambia,0,120,1978,both,5468262
894,ZMB,Zambia,0,120,1979,both,5656139
894,ZMB,Zambia,0,120,1980,both,5851825
894,ZMB,Zambia,0,120,1981,both,6055366
894,ZMB,Zambia,0,120,1982,both,6265864
894,ZMB,Zambia,0,120,1983,both,6481916
894,ZMB,Zambia,0,120,1984,both,6701540
894,ZMB,Zambia,0,120,1985,both,6923149
894,ZMB,Zambia,0,120,1986,both,7146969
894,ZMB,Zambia,0,120,1987,both,7372837
894,ZMB,Zambia,0,120,1988,both,7598275
894,ZMB,Zambia,0,120,1989,both,7820205
894,ZMB,Zambia,0,120,1990,both,8036845
894,ZMB,Zambia,0,120,1991,both,8246656
894,ZMB,Zambia,0,120,1992,both,8451347
894,ZMB,Zambia,0,120,1993,both,8656486
894,ZMB,Zambia,0,120,1994,both,8869740
894,ZMB,Zambia,0,120,1995,both,9096607
894,ZMB,Zambia,0,120,1996,both,9339733
894,ZMB,Zambia,0,120,1997,both,9597609
894,ZMB,Zambia,0,120,1998,both,9866476
894,ZMB,Zambia,0,120,1999,both,10140561
894,ZMB,Zambia,0,120,2000,both,10415944
894,ZMB,Zambia,0,120,2001,both,10692193
894,ZMB,Zambia,0,120,2002,both,10971698
894,ZMB,Zambia,0,120,2003,both,11256743
894,ZMB,Zambia,0,120,2004,both,11550642
894,ZMB,Zambia,0,120,2005,both,11856247
894,ZMB,Zambia,0,120,2006,both,12173514
894,ZMB,Zambia,0,120,2007,both,12502958
894,ZMB,Zambia,0,120,2008,both,12848530
894,ZMB,Zambia,0,120,2009,both,13215139
894,ZMB,Zambia,0,120,2010,both,13605984
894,ZMB,Zambia,0,120,2011,both,14023203
894,ZMB,Zambia,0,120,2012,both,14465150
894,ZMB,Zambia,0,120,2013,both,14926544
894,ZMB,Zambia,0,120,2014,both,15399788
894,ZMB,Zambia,0,120,2015,both,15879361
894,ZMB,Zambia,0,120,2016,both,16363458
894,ZMB,Zambia,0,120,2017,both,16853599
894,ZMB,Zambia,0,120,2018,both,17351708
894,ZMB,Zambia,0,120,2019,both,17861030
894,ZMB,Zambia,0,120,2020,both,18383955
894,ZMB,Zambia,0,120,2021,both,18920651
894,ZMB,Zambia,0,120,2022,both,19470234
894,ZMB,Zambia,0,120,2023,both,20032812
894,ZMB,Zambia,0,120,2024,both,20608359
894,ZMB,Zambia,0,120,2025,both,21196801
894,ZMB,Zambia,0,120,2026,both,21798153
894,ZMB,Zambia,0,120,2027,both,22412316
894,ZMB,Zambia,0,120,2028,both,23038730
894,ZMB,Zambia,0,120,2029,both,23676661
894,ZMB,Zambia,0,120,2030,both,24325505
894,ZMB,Zambia,0,120,2031,both,24984961
894,ZMB,Zambia,0,120,2032,both,25654798
894,ZMB,Zambia,0,120,2033,both,26334558
894,ZMB,Zambia,0,120,2034,both,27023734
894,ZMB,Zambia,0,120,2035,both,27721896
894,ZMB,Zambia,0,120,2036,both,28428667
894,ZMB,Zambia,0,120,2037,both,29143814
894,ZMB,Zambia,0,120,2038,both,29867201
894,ZMB,Zambia,0,120,2039,both,30598792
894,ZMB,Zambia,0,120,2040,both,31338483
894,ZMB,Zambia,0,120,2041,both,32086104
894,ZMB,Zambia,0,120,2042,both,32841342
894,ZMB,Zambia,0,120,2043,both,33603854
894,ZMB,Zambia,0,120,2044,both,34373196
894,ZMB,Zambia,0,120,2045,both,35149038
894,ZMB,Zambia,0,120,2046,both,35931106
894,ZMB,Zambia,0,120,2047,both,36719296
894,ZMB,Zambia,0,120,2048,both,37513609
894,ZMB,Zambia,0,120,2049,both,38314144
894,ZMB,Zambia,0,120,2050,both,39120917
894,ZMB,Zambia,0,120,2051,both,39933823
894,ZMB,Zambia,0,120,2052,both,40752621
894,ZMB,Zambia,0,120,2053,both,41577048
894,ZMB,Zambia,0,120,2054,both,42406782
894,ZMB,Zambia,0,120,2055,both,43241551
894,ZMB,Zambia,0,120,2056,both,44081041
894,ZMB,Zambia,0,120,2057,both,44925128
894,ZMB,Zambia,0,120,2058,both,45773853
894,ZMB,Zambia,0,120,2059,both,46627341
894,ZMB,Zambia,0,120,2060,both,47485579
894,ZMB,Zambia,0,120,2061,both,48348443
894,ZMB,Zambia,0,120,2062,both,49215488
894,ZMB,Zambia,0,120,2063,both,50086058
894,ZMB,Zambia,0,120,2064,both,50959315
894,ZMB,Zambia,0,120,2065,both,51834554
894,ZMB,Zambia,0,120,2066,both,52711361
894,ZMB,Zambia,0,120,2067,both,53589514
894,ZMB,Zambia,0,120,2068,both,54468799
894,ZMB,Zambia,0,120,2069,both,55349034
894,ZMB,Zambia,0,120,2070,both,56230033
894,ZMB,Zambia,0,120,2071,both,57111510
894,ZMB,Zambia,0,120,2072,both,57993115
894,ZMB,Zambia,0,120,2073,both,58874527
894,ZMB,Zambia,0,120,2074,both,59755428
894,ZMB,Zambia,0,120,2075,both,60635510
894,ZMB,Zambia,0,120,2076,both,61514427
894,ZMB,Zambia,0,120,2077,both,62391914
894,ZMB,Zambia,0,120,2078,both,63267867
894,ZMB,Zambia,0,120,2079,both,64142234
894,ZMB,Zambia,0,120,2080,both,65014875
894,ZMB,Zambia,0,120,2081,both,65885593
894,ZMB,Zambia,0,120,2082,both,66753965
894,ZMB,Zambia,0,120,2083,both,67619420
894,ZMB,Zambia,0,120,2084,both,68481237
894,ZMB,Zambia,0,120,2085,both,69338816
894,ZMB,Zambia,0,120,2086,both,70191783
894,ZMB,Zambia,0,120,2087,both,71039947
894,ZMB,Zambia,0,120,2088,both,71883133
894,ZMB,Zambia,0,120,2089,both,72721240
894,ZMB,Zambia,0,120,2090,both,73554125
894,ZMB,Zambia,0,120,2091,both,74381597
894,ZMB,Zambia,0,120,2092,both,75203383
894,ZMB,Zambia,0,120,2093,both,76019211
894,ZMB,Zambia,0,120,2094,both,76828802
894,ZMB,Zambia,0,120,2095,both,77631916
894,ZMB,Zambia,0,120,2096,both,78428394
894,ZMB,Zambia,0,120,2097,both,79218087
894,ZMB,Zambia,0,120,2098,both,80000947
894,ZMB,Zambia,0,120,2099,both,80776966
894,ZMB,Zambia,0,120,2100,both,81546200
